,Symbol,Name,Market,SecuGroup,Kind,ListingDate,DelistingDate,Reason,ArrantEnforceDate,ArrantEndDate,Industry,ParValue,ListingShares,ToSymbol,ToName
70,3232301B,엠에프엠코리아 7R,KOSDAQ,신주인수권증서,보통주,2021-11-19,2021-11-26,,,,,0.0,9997827,,
71,0333101B,엠투엔 16R,KOSDAQ,신주인수권증서,보통주,2021-07-29,2021-08-05,,,,,0.0,8293218,,
72,0655001B,오리엔트정공 22R,KOSDAQ,신주인수권증서,보통주,2021-12-20,2021-12-27,,,,,0.0,8290500,,
73,1180001B,우리들휴브레인21R,KOSPI,신주인수권증서,보통주,2021-06-24,2021-07-01,,,,,0.0,27125201,,
74,0100501A,우리종금 32R,KOSPI,신주인수권증서,보통주,2020-10-13,2020-10-20,,,,,0.0,181635193,,
75,0952701A,웨이브일렉트로 13R,KOSDAQ,신주인수권증서,보통주,2020-09-04,2020-09-11,,,,,0.0,3697596,,
76,2066501A,유바이오로직스 44R,KOSDAQ,신주인수권증서,보통주,2020-12-02,2020-12-09,,,,,0.0,3661565,,
77,2157901A,이노인스트루먼트 7R,KOSDAQ,신주인수권증서,보통주,2020-03-18,2020-03-25,,,,,0.0,19997198,,
78,0076601B,이수페타시스 5R,KOSPI,신주인수권증서,보통주,2021-10-13,2021-10-20,,,,,0.0,17575605,,
79,0059501A,이수화학 21R,KOSPI,신주인수권증서,보통주,2020-07-13,2020-07-20,,,,,0.0,7793485,,
80,2940901B,이오플로우 14R,KOSDAQ,신주인수권증서,보통주,2021-12-21,2021-12-28,,,,,0.0,2984797,,
81,0332301A,인성정보 21R,KOSDAQ,신주인수권증서,보통주,2020-12-28,2021-01-06,,,,,0.0,8316762,,
82,1893001B,인텔리안테크 12R,KOSDAQ,신주인수권증서,보통주,2021-07-08,2021-07-15,,,,,0.0,1508237,,
83,0207601B,일진디스플 19R,KOSPI,신주인수권증서,보통주,2021-01-25,2021-02-01,,,,,0.0,4917362,,
84,2216101A,자안 8R,KOSDAQ,신주인수권증서,보통주,2020-11-20,2020-11-27,,,,,0.0,139994414,,
85,0439101B,자연과환경 34R,KOSDAQ,신주인수권증서,보통주,2021-12-21,2021-12-28,,,,,0.0,19479628,,
86,2892201B,자이언트스텝 11R,KOSDAQ,신주인수권증서,보통주,2021-11-24,2021-12-01,,,,,0.0,1154837,,
87,3174001B,자이에스앤디 3R,KOSPI,신주인수권증서,보통주,2021-04-09,2021-04-16,,,,,0.0,9589512,,
88,1100201A,전진바이오팜 22R,KOSDAQ,신주인수권증서,보통주,2020-11-05,2020-11-12,,,,,0.0,1245159,,
89,2081401A,정다운 10R,KOSDAQ,신주인수권증서,보통주,2020-09-22,2020-09-29,,,,,0.0,10796923,,
90,0256201B,제이준코스메틱 92R,KOSPI,신주인수권증서,보통주,2021-07-08,2021-07-15,,,,,0.0,18489671,,
91,0895901A,제주항공 13R,KOSPI,신주인수권증서,보통주,2020-07-22,2020-07-29,,,,,0.0,9693746,,
92,0895901B,제주항공 15R,KOSPI,신주인수권증서,보통주,2021-09-30,2021-10-08,,,,,0.0,8976417,,
93,0184701B,조일알미늄 14R,KOSPI,신주인수권증서,보통주,2021-11-24,2021-12-01,,,,,0.0,15973988,,
94,0333401A,좋은사람들 8R,KOSDAQ,신주인수권증서,보통주,2020-01-15,2020-03-13,,,,,0.0,19987519,,
95,20484019,지엘팜텍 11R,KOSDAQ,신주인수권증서,보통주,2019-12-24,2020-01-03,,,,,0.0,8894354,,
96,2724501A,진에어 4R,KOSPI,신주인수권증서,보통주,2020-10-08,2020-10-16,,,,,0.0,11988571,,
97,2724501B,진에어 5R,KOSPI,신주인수권증서,보통주,2021-10-18,2021-10-25,,,,,0.0,5735939,,
98,01100019,진원생명과학 36R,KOSPI,신주인수권증서,보통주,2019-12-30,2020-01-08,,,,,0.0,10991926,,
99,0110001A,진원생명과학 39R,KOSPI,신주인수권증서,보통주,2020-06-08,2020-06-15,,,,,0.0,11472430,,
100,0110001B,진원생명과학 49R,KOSPI,신주인수권증서,보통주,2021-10-28,2021-11-04,,,,,0.0,5679322,,
101,0663601B,체리부로 6R,KOSDAQ,신주인수권증서,보통주,2021-08-23,2021-08-30,,,,,0.0,18996045,,
102,0332501A,체시스 8R,KOSPI,신주인수권증서,보통주,2020-12-24,2021-01-05,,,,,0.0,6394151,,
103,0478201A,초록뱀 43R,KOSDAQ,신주인수권증서,보통주,2020-07-17,2020-07-24,,,,,0.0,35566025,,
104,1053301A,케이엔더블유 6R,KOSDAQ,신주인수권증서,보통주,2020-08-25,2020-09-01,,,,,0.0,4599344,,
105,2254301A,케이엠제약 6R,KOSDAQ,신주인수권증서,보통주,2020-11-04,2020-11-11,,,,,0.0,6493195,,
106,0786501A,코렌 17R,KOSDAQ,신주인수권증서,보통주,2020-10-14,2020-10-21,,,,,0.0,24295626,,
107,1928201B,코스맥스3R,KOSPI,신주인수권증서,보통주,2021-06-03,2021-06-10,,,,,0.0,1026715,,
108,0318201B,콤텍시스템 8R,KOSPI,신주인수권증서,보통주,2021-07-28,2021-08-04,,,,,0.0,42549778,,
109,2144201B,토니모리 5R,KOSPI,신주인수권증서,보통주,2021-12-01,2021-12-08,,,,,0.0,5494625,,
110,0261501B,특수건설9R,KOSDAQ,신주인수권증서,보통주,2021-07-23,2021-07-30,,,,,0.0,1481575,,
111,0918101A,티웨이항공 19R,KOSPI,신주인수권증서,보통주,2020-07-10,2020-07-17,,,,,0.0,19989966,,
112,0918102A,티웨이항공 19R,KOSPI,신주인수권증서,보통주,2020-10-21,2020-10-28,,,,,0.0,35989141,,
113,0048701B,티웨이홀딩스 52R,KOSPI,신주인수권증서,보통주,2021-12-03,2021-12-10,,,,,0.0,31993053,,
114,2083401B,파멥신 18R,KOSDAQ,신주인수권증서,보통주,2021-07-23,2021-07-30,,,,,0.0,6287667,,
115,0328001B,판타지오 39R,KOSDAQ,신주인수권증서,보통주,2021-05-20,2021-05-27,,,,,0.0,249991674,,
116,0870101A,펩트론 18R,KOSDAQ,신주인수권증서,보통주,2020-12-02,2020-12-09,,,,,0.0,5019777,,
117,0166701A,포비스티앤씨 22R,KOSDAQ,신주인수권증서,보통주,2020-06-23,2020-06-30,,,,,0.0,43295737,,
118,0036701A,포스코케미칼 6R,KOSPI,신주인수권증서,보통주,2020-12-28,2021-01-06,,,,,0.0,14489286,,
119,2201001A,퓨쳐켐 18R,KOSDAQ,신주인수권증서,보통주,2020-07-10,2020-07-17,,,,,0.0,3798131,,
120,0578801B,피에이치씨 33R,KOSDAQ,신주인수권증서,보통주,2021-08-19,2021-08-26,,,,,0.0,37972697,,
121,0331801B,필룩스 34R,KOSPI,신주인수권증서,보통주,2021-02-24,2021-03-04,,,,,0.0,36056974,,
122,0673101B,하나마이크론 12R,KOSDAQ,신주인수권증서,보통주,2021-11-23,2021-11-30,,,,,0.0,7988039,,
123,3528201B,하이브 8R,KOSPI,신주인수권증서,보통주,2021-05-06,2021-05-13,,,,,0.0,2188181,,
124,0807201A,한국유니온제약 5R,KOSDAQ,신주인수권증서,보통주,2020-08-20,2020-08-27,,,,,0.0,1993056,,
125,0023201A,한진 25R,KOSPI,신주인수권증서,보통주,2020-10-13,2020-10-20,,,,,0.0,2373576,,
126,0051101A,한창 45R,KOSPI,신주인수권증서,보통주,2020-08-28,2020-09-04,,,,,0.0,31989870,,
127,0098301B,한화솔루션 47R,KOSPI,신주인수권증서,보통주,2021-02-05,2021-02-16,,,,,0.0,24997966,,
128,2722101B,한화시스템 3R,KOSPI,신주인수권증서,보통주,2021-05-13,2021-05-21,,,,,0.0,62911259,,
129,0766101B,해성옵틱스 9R,KOSDAQ,신주인수권증서,보통주,2021-06-25,2021-07-02,,,,,0.0,39996011,,
130,0849901A,헬릭스미스 35R,KOSDAQ,신주인수권증서,보통주,2020-12-03,2020-12-10,,,,,0.0,7471356,,
131,0007201B,현대건설 68PR,KOSPI,신주인수권증서,보통주,2021-10-01,2021-10-12,,,,,0.0,1832367,,
132,0426701B,현대두산인프라코어 36R,KOSPI,신주인수권증서,보통주,2021-11-24,2021-12-01,,,,,0.0,92025792,,
133,0605601B,홈센타홀딩스 16R,KOSDAQ,신주인수권증서,보통주,2021-02-08,2021-02-17,,,,,0.0,42553360,,
134,1151601B,휴맥스 4R,KOSDAQ,신주인수권증서,보통주,2021-05-10,2021-05-17,,,,,0.0,10991071,,
135,036490,SK머티리얼즈,KOSDAQ,주권,보통주,1999-12-14,2021-12-27,피흡수합병,,,반도체,500.0,10547673,,
136,045890,GV,KOSDAQ,주권,보통주,2005-11-28,2021-12-20,해산사유 발생(파산선고),2021-12-09,2021-12-17,전기·전자,500.0,86766187,,
137,158300,에스에이티이엔지,KONEX,주권,보통주,2013-07-01,2021-12-09,피흡수합병,,,-,500.0,3306335,,
138,313750,유안타제4호스팩,KOSDAQ,주권,보통주,2019-03-21,2021-12-07,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동사유 미해소,2021-11-26,2021-12-06,금융,100.0,4650000,,
139,317320,한화에스비아이스팩,KOSDAQ,주권,보통주,2019-05-03,2021-12-07,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,2021-11-26,2021-12-06,금융,100.0,4360000,,
140,086080,다이노나,KONEX,주권,보통주,2018-05-08,2021-11-22,피흡수합병,,,-,500.0,32931086,,
141,031390,녹십자셀,KOSDAQ,주권,보통주,1998-09-25,2021-11-17,피흡수합병,,,제약,500.0,13035197,,
142,02758217,상보 2WR,KOSDAQ,신주인수권증권,보통주,2017-12-22,2021-11-08,신주인수권 행사기간 만료,,,,0.0,2099088,027580,상보
143,144620,코오롱머티리얼,KOSPI,주권,보통주,2012-04-05,2021-11-05,지주회사(최대주주등)의 완전자회사화 등,,,화학,1000.0,68658635,,
144,317030,케이비17호스팩,KOSDAQ,주권,보통주,2019-03-27,2021-11-04,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동사유 미해소,2021-10-26,2021-11-03,금융,100.0,5461000,,
