,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId,lateInfoMsgCd
15,000270,KR7000270009,기아,KOSPI,,121700,1,800,0.66,122400,122500,120600,181176,22015304850,47513261856600,390412998,STK,ME005
16,006400,KR7006400006,삼성SDI,KOSPI,,540000,1,1000,0.19,550000,552000,538000,81782,44330828000,43516186200000,80585530,STK,ME005
17,068270,KR7068270008,셀트리온,KOSPI,,179800,2,-500,-0.28,182000,182800,179500,109656,19786204300,41824568244800,232617176,STK,ME005
18,034730,KR7034730002,SK,KOSPI,,537000,2,-2000,-0.37,555000,557000,537000,37607,20482559000,38933951511000,72502703,STK,ME005
19,086790,KR7086790003,하나금융지주,KOSPI,,135200,2,-2300,-1.67,140200,140200,133800,211359,28690838600,36635131832000,270969910,STK,ME005
20,012330,KR7012330007,현대모비스,KOSPI,,381500,1,500,0.13,387000,389000,381500,80062,30715597750,34266553177500,89820585,STK,ME005
21,066570,KR7066570003,LG전자,KOSPI,,199200,1,1300,0.66,202000,203000,198200,159060,31787122050,32446619889600,162884638,STK,ME005
22,010120,KR7010120004,LS ELECTRIC,KOSPI,,207000,1,5000,2.48,205500,210500,202000,273820,56655565000,31050000000000,150000000,STK,ME005
23,035420,KR7035420009,NAVER,KOSPI,,197300,2,-1700,-0.85,201500,202000,196100,669411,132370609200,30008219003700,152094369,STK,ME005
24,000810,KR7000810002,삼성화재,KOSPI,,659000,2,-7000,-1.05,666000,667000,652000,29671,19492788500,29422684707000,44647473,STK,ME005
25,298040,KR7298040007,효성중공업,KOSPI,,2903000,1,42000,1.47,2926000,2949000,2879000,18763,54533274000,27069162844000,9324548,STK,ME005
26,316140,KR7316140003,우리금융지주,KOSPI,,36200,2,-100,-0.28,37050,37050,35850,650372,23555324875,26671673363400,736786557,STK,ME005
27,267260,KR7267260008,HD현대일렉트릭,KOSPI,,729000,1,17000,2.39,733000,738000,717000,41150,30026140500,26278361415000,36047135,STK,ME005
28,005490,KR7005490008,POSCO홀딩스,KOSPI,,325500,2,-1000,-0.31,329500,331000,324500,64817,21151686500,25793117038500,79241527,STK,ME005
29,042660,KR7042660001,한화오션,KOSPI,,83700,1,100,0.12,84500,84500,82900,196858,16471186750,25646801077800,306413394,STK,ME005
30,009540,KR7009540006,HD한국조선해양,KOSPI,,339000,2,-9500,-2.73,350500,351000,338000,32494,11129578250,23992086324000,70773116,STK,ME005
31,010130,KR7010130003,고려아연,KOSPI,,1134000,1,11000,0.98,1159000,1159000,1127000,3936,4470796000,23669946846000,20872969,STK,ME005
32,000150,KR7000150003,두산,KOSPI,,1456000,1,51000,3.63,1489000,1503000,1425000,76880,111559534500,23578223760000,16193835,STK,ME005
33,096770,KR7096770003,SK이노베이션,KOSPI,,137400,2,-2000,-1.43,139900,141500,135300,246303,33793319800,23227853071200,169052788,STK,ME005
34,042700,KR7042700005,한미반도체,KOSPI,,230500,1,5000,2.22,233000,235500,229000,160298,37252885000,21969462100000,95312200,STK,ME005
35,138040,KR7138040001,메리츠금융지주,KOSPI,,125900,2,-500,-0.4,127300,127700,124900,46306,5820029550,21069021670700,167347273,STK,ME005
36,011200,KR7011200003,HMM,KOSPI,,21200,1,450,2.17,21100,21900,21050,604083,12956224850,19996644964000,943237970,STK,ME005
37,015760,KR7015760002,한국전력,KOSPI,,30950,2,-50,-0.16,31500,31500,30850,408158,12665961325,19868788183150,641964077,STK,ME005
38,017670,KR7017670001,SK텔레콤,KOSPI,,88900,1,1300,1.48,89000,89500,87600,271778,24095194000,19094835711700,214790053,STK,ME005
39,051910,KR7051910008,LG화학,KOSPI,,267500,2,-500,-0.19,271000,273500,265500,34301,9204414250,18883451752500,70592343,STK,ME005
40,010140,KR7010140002,삼성중공업,KOSPI,,21150,2,-350,-1.63,21550,21650,21100,710940,15159486150,18612000000000,880000000,STK,ME005
41,033780,KR7033780008,KT&G,KOSPI,,172400,2,-1400,-0.81,173500,173700,171000,80826,13915753500,17896922614400,103810456,STK,ME005
42,196170,KR7196170005,알테오젠,KOSDAQ GLOBAL,우량기업부,254500,1,500,0.2,256000,258000,252500,99754,25447730250,17727231348500,69655133,KSQ,ME005
43,006800,KR7006800007,미래에셋증권,KOSPI,,31850,1,50,0.16,32400,32550,31700,262805,8397264325,17295220474350,543021051,STK,ME005
44,010950,KR7010950004,S-Oil,KOSPI,,151600,2,-600,-0.39,153600,157300,148600,127106,19267752950,17067551267200,112582792,STK,ME005
