,Code,Name,Market,Sector,Industry,Products,ListingDate,SettleMonth,Representative,HomePage,Region
2046,115310,인포바인,KOSDAQ,벤처기업부,,,,,,,
2047,039290,인포뱅크,KOSDAQ,중견기업부,,,,,,,
2048,071200,인피니트헬스케어,KOSDAQ,중견기업부,,,,,,,
2049,101930,인화정공,KOSDAQ,우량기업부,,,,,,,
2050,249420,일동제약,KOSPI,,,,,,,,
2051,000230,일동홀딩스,KOSPI,,,,,,,,
2052,013360,일성건설,KOSPI,,,,,,,,
2053,003120,일성아이에스,KOSPI,,,,,,,,
2054,333430,일승,KOSDAQ,중견기업부,,,,,,,
2055,068330,일신바이오,KOSDAQ,중견기업부,,,,,,,
2056,003200,일신방직,KOSPI,,,,,,,,
2057,007110,일신석재,KOSPI,,,,,,,,
2058,007570,일양약품,KOSPI,,,,,,,,
2059,007575,일양약품우,KOSPI,,,,,,,,
2060,178780,일월지엠엘,KOSDAQ,벤처기업부,,,,,,,
2061,008500,일정실업,KOSPI,,,,,,,,
2062,019540,일지테크,KOSDAQ,우량기업부,,,,,,,
2063,081000,일진다이아,KOSPI,,,,,,,,
2064,020760,일진디스플,KOSPI,,,,,,,,
2065,103590,일진전기,KOSPI,,,,,,,,
2066,094820,일진파워,KOSDAQ,우량기업부,,,,,,,
2067,271940,일진하이솔루스,KOSPI,,,,,,,,
2068,015860,일진홀딩스,KOSPI,,,,,,,,
2069,226320,잇츠한불,KOSPI,,,,,,,,
2070,950140,잉글우드랩,KOSDAQ,외국기업(소속부없음),,,,,,,
2071,049550,잉크테크,KOSDAQ,우량기업부,,,,,,,
2072,389020,자람테크놀로지,KOSDAQ,기술성장기업부,,,,,,,
2073,254120,자비스,KOSDAQ,기술성장기업부,,,,,,,
2074,043910,자연과환경,KOSDAQ,벤처기업부,,,,,,,
2075,234920,자이글,KOSDAQ,관리종목(소속부없음),,,,,,,
2076,289220,자이언트스텝,KOSDAQ,기술성장기업부,,,,,,,
2077,317400,자이에스앤디,KOSPI,,,,,,,,
2078,033240,자화전자,KOSPI,,,,,,,,
2079,049630,재영솔루텍,KOSDAQ,우량기업부,,,,,,,
2080,417840,저스템,KOSDAQ,벤처기업부,,,,,,,
2081,000950,전방,KOSPI,,,,,,,,
2082,079900,전진건설로봇,KOSPI,,,,,,,,
2083,110020,전진바이오팜,KOSDAQ,기술성장기업부,,,,,,,
2084,208140,정다운,KOSDAQ,우량기업부,,,,,,,
2085,040420,정상제이엘에스,KOSDAQ,우량기업부,,,,,,,
2086,045510,정원엔시스,KOSDAQ,중견기업부,,,,,,,
2087,217190,제너셈,KOSDAQ,벤처기업부,,,,,,,
2088,095700,제넥신,KOSDAQ,기술성장기업부,,,,,,,
2089,122310,제노레이,KOSDAQ,우량기업부,,,,,,,
2090,361390,제노코,KOSDAQ,벤처기업부,,,,,,,
2091,066830,제노텍,KONEX,일반기업부,,,,,,,
2092,225220,제놀루션,KOSDAQ,벤처기업부,,,,,,,
2093,123330,제닉,KOSDAQ,우량기업부,,,,,,,
2094,381620,제닉스로보틱스,KOSDAQ,중견기업부,,,,,,,
2095,159580,제로투세븐,KOSDAQ,중견기업부,,,,,,,
2096,147830,제룡산업,KOSDAQ,벤처기업부,,,,,,,
2097,033100,제룡전기,KOSDAQ,우량기업부,,,,,,,
2098,079370,제우스,KOSDAQ,우량기업부,,,,,,,
2099,054950,제이브이엠,KOSDAQ,우량기업부,,,,,,,
2100,090470,제이스로보틱스,KOSDAQ,벤처기업부,,,,,,,
2101,023440,제이스코홀딩스,KOSDAQ,관리종목(소속부없음),,,,,,,
2102,137950,제이씨케미칼,KOSDAQ,우량기업부,,,,,,,
2103,033320,제이씨현시스템,KOSDAQ,벤처기업부,,,,,,,
2104,417500,제이아이테크,KOSDAQ,우량기업부,,,,,,,
2105,348950,제이알글로벌리츠,KOSPI,,,,,,,,
2106,204270,제이앤티씨,KOSDAQ,중견기업부,,,,,,,
2107,127120,제이에스링크,KOSDAQ,벤처기업부,,,,,,,
2108,194370,제이에스코퍼레이션,KOSPI,,,,,,,,
2109,026040,제이에스티나,KOSDAQ,중견기업부,,,,,,,
2110,452160,제이엔비,KOSDAQ,중견기업부,,,,,,,
2111,126880,제이엔케이글로벌,KOSDAQ,우량기업부,,,,,,,
2112,322510,제이엘케이,KOSDAQ,기술성장기업부,,,,,,,
2113,254160,제이엠멀티,KONEX,일반기업부,,,,,,,
2114,033050,제이엠아이,KOSDAQ,중견기업부,,,,,,,
2115,094970,제이엠티,KOSDAQ,벤처기업부,,,,,,,
