,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId,lateInfoMsgCd
146,102710,KR7102710001,이엔에프테크놀로지,KOSDAQ,우량기업부,42000,1,1000,2.44,41600,42550,41300,23371,982148950,600089112000,14287836,KSQ,ME005
147,222080,KR7222080004,SFA넥셀,KOSDAQ GLOBAL,우량기업부,7670,2,-60,-0.78,7750,7770,7580,117391,897656600,596573704480,77780144,KSQ,ME005
148,126340,KR7126340009,비나텍,KOSDAQ,벤처기업부,82000,1,1300,1.61,81400,82500,77800,79875,6453664800,588793948000,7180414,KSQ,ME005
149,046890,KR7046890000,서울반도체,KOSDAQ GLOBAL,중견기업부,9980,1,130,1.32,10000,10030,9800,90870,904743870,581887892000,58305400,KSQ,ME005
150,094170,KR7094170008,동운아나텍,KOSDAQ,우량기업부,27450,1,150,0.55,27250,27450,26700,26358,716363275,573977743200,20909936,KSQ,ME005
151,050890,KR7050890003,쏠리드,KOSDAQ,우량기업부,9390,2,-370,-3.79,9990,9990,9360,1254232,12019416160,570503854260,60756534,KSQ,ME005
152,253590,KR7253590004,네오셈,KOSDAQ,우량기업부,12950,1,710,5.8,12340,13150,12230,994853,12729406505,568105673800,43869164,KSQ,ME005
153,079940,KR7079940003,가비아,KOSDAQ,우량기업부,41950,1,1950,4.88,40900,42150,39000,15694,646403350,562997693800,13420684,KSQ,ME005
154,077360,KR7077360006,덕산하이메탈,KOSDAQ,벤처기업부,12350,1,740,6.37,11610,12500,11470,669916,8124901285,561146974700,45437002,KSQ,ME005
155,045100,KR7045100005,한양이엔지,KOSDAQ,우량기업부,31700,2,-400,-1.25,31950,32050,31300,59811,1894491875,554750000000,17500000,KSQ,ME005
156,052400,KR7052400009,코나아이,KOSDAQ GLOBAL,우량기업부,38000,1,50,0.13,38000,38400,37750,15489,588744375,553405058000,14563291,KSQ,ME005
157,060250,KR7060250008,NHN KCP,KOSDAQ,우량기업부,13300,1,300,2.31,13250,13490,13220,140169,1871511170,534136126300,40160611,KSQ,ME005
158,456160,KR7456160001,지투지바이오,KOSDAQ,기술성장기업부,32025,1,125,0.39,32050,32550,31750,34206,1097899900,532557367650,16629426,KSQ,ME005
159,490470,KR7490470002,세미파이브,KOSDAQ,기술성장기업부,15600,1,50,0.32,15660,15790,15310,103354,1609230870,530796864000,34025440,KSQ,ME005
160,009520,KR7009520008,포스코엠텍,KOSDAQ GLOBAL,중견기업부,12660,2,-10,-0.08,12830,12840,12570,38728,490417015,527196619980,41642703,KSQ,ME005
161,356680,KR7356680009,엑스게이트,KOSDAQ,벤처기업부,18310,1,740,4.21,17360,18360,17120,2742001,49116273245,522631338520,28543492,KSQ,ME005
