Date,Close,UpDown,Comp,Change,Open,High,Low,Volume,Amount,MarCap
2005-03-24,123.8,2,-1.36,-0.0109,125.54,125.84,123.06,136310978.0,1893244681595.0,385872497706410.0
2005-03-25,125.07,1,1.27,0.0103,124.38,125.09,123.88,174695989.0,1103236731410.0,389657548039270.0
2005-03-28,126.72,1,1.65,0.0132,125.61,127.17,125.61,153785679.0,1341507415305.0,394504444468530.0
2005-03-29,124.13,2,-2.59,-0.0204,126.65,126.72,123.73,142100815.0,1473294642837.0,386400506441320.0
2005-03-30,123.49,2,-0.64,-0.0052,123.26,123.87,122.51,107620710.0,1372115462275.0,384622466922705.0
2005-03-31,124.78,1,1.29,0.0104,125.31,125.4,124.26,103051988.0,1401451088460.0,388946691449320.0
2005-04-01,126.88,1,2.1,0.0168,124.65,127.07,124.61,113871723.0,1808101999864.0,395396616092445.0
2005-04-04,127.22,1,0.34,0.0027,126.77,127.29,126.15,96769139.0,1452836192890.0,396166493502325.0
2005-04-06,127.85,1,0.63,0.005,127.61,128.2,126.18,94421776.0,1847887493743.0,398209200192275.0
2005-04-07,127.92,1,0.07,0.0005,128.23,128.42,127.46,123686383.0,1928081128849.0,398684055164965.0
2005-04-08,128.44,1,0.52,0.0040999999999999995,128.86,129.01,128.12,106491736.0,1728711927820.0,400066546556475.0
2005-04-11,127.59,2,-0.85,-0.0066,127.95,127.96,127.09,72783993.0,1205828066810.0,397490037934760.0
2005-04-12,127.24,2,-0.35,-0.0027,127.23,127.72,126.86,107693753.0,1309410635638.0,396000572500960.0
2005-04-13,127.28,1,0.04,0.0003,127.84,127.98,126.98,79187963.0,1263609213905.0,395873166883550.0
2005-04-14,123.29,2,-3.99,-0.0313,126.17,126.26,123.29,115517625.0,1983822030310.0,384018792946975.0
2005-04-15,122.41,2,-0.88,-0.0070999999999999995,123.49,123.61,121.49,93971462.0,1887531279225.0,381538160840625.0
2005-04-18,119.76,2,-2.65,-0.0216,120.27,120.82,118.79,88790691.0,1643385259515.0,373270718903495.0
2005-04-19,120.5,1,0.74,0.0062,120.64,121.18,120.17,85396909.0,1486719586996.0,375893756276275.0
2005-04-20,121.05,1,0.55,0.0046,121.58,122.68,120.12,91968395.0,1613995208812.0,377458089191475.0
2005-04-21,121.31,1,0.26,0.0021,119.44,121.66,118.33,90043916.0,1536448405450.0,378424152816080.0
2005-04-22,121.36,1,0.05,0.0004,123.03,123.05,121.36,78988641.0,1196403291045.0,378855905622385.0
2005-04-25,122.08,1,0.72,0.0059,120.79,122.24,120.27,90353203.0,1143634459585.0,381311521743810.0
2005-04-26,121.92,2,-0.16,-0.0013,122.21,122.56,121.82,105559059.0,1202949902895.0,380557424988175.0
2005-04-27,119.96,2,-1.96,-0.0161,120.85,120.85,119.23,108969472.0,1284145870310.0,374521984686075.0
2005-04-28,118.36,2,-1.6,-0.013300000000000001,120.1,120.19,118.36,100076926.0,1444581365953.0,369457591626075.0
2005-04-29,117.58,2,-0.78,-0.0066,117.06,118.0,116.54,100338398.0,1648444802505.0,367271326753465.0
