,Code,Name,Close,RateCode,STR_CMP_PRC,Rate,Marcap,IDX_ID
588,011090,에넥스,1443,1,125,9.48,17109728922,
589,011150,CJ씨푸드,2015,3,0,0.0,72400507595,
590,011230,삼화전자,2700,1,190,7.57,51747619500,
591,011280,태림포장,1576,2,-3,-0.19,111590161440,
592,011300,우성머티리얼스,2470,2,-10,-0.4,42580095350,
593,011330,유니켐,4395,1,5,0.11,44032555680,
594,011390,부산산업,51100,2,-800,-1.54,53961600000,
595,011420,갤럭시아에스엠,1474,1,6,0.41,40608175256,
596,011500,한농화성,13150,2,-260,-1.94,205627102300,
597,011690,와이투솔루션,3235,2,-20,-0.61,118720495070,
598,011700,한신기계,2690,1,50,1.89,87280146190,
599,011810,STX,3530,0,0,0.0,109493282310,
600,012160,영흥,2220,2,-25,-1.11,34677960660,
601,012170,아센디오,2940,2,-15,-0.51,21452359740,
602,012200,계양전기,3600,2,-25,-0.69,98002184400,
603,012280,영화금속,3795,2,-25,-0.65,37589099295,
604,012320,경동인베스트,46350,1,50,0.11,109618816050,
605,012610,경인양행,3150,2,-10,-0.32,131091549750,
606,012690,모나리자,1474,2,-1,-0.07,53906029870,
607,012800,대창,1200,1,4,0.33,109368598800,
608,013000,세우글로벌,1192,1,3,0.25,34216396952,
609,013360,일성건설,1450,2,-1,-0.07,78336076000,
610,013520,화승코퍼레이션,2500,1,5,0.2,125128130000,
611,013570,디와이,4310,2,-40,-0.92,113437618230,
612,013580,계룡건설,23200,1,650,2.88,207197042400,
613,013700,까뮤이앤씨,1680,1,11,0.66,100381394400,
614,013870,지엠비코리아,3810,1,5,0.13,72665386800,
615,013890,지누스,7610,2,-40,-0.52,166855436930,
616,014130,한익스프레스,2595,2,-35,-1.33,30667406385,
617,014160,대영포장,675,2,-3,-0.44,73166320575,
618,014280,금강공업,4660,2,-100,-2.1,136674803620,
619,014440,영보화학,4745,1,5,0.11,94900000000,
620,014530,극동유화,3440,1,25,0.73,119950804800,
621,014580,태경비케이,3830,1,45,1.19,105643273000,
622,014710,사조씨푸드,10420,2,-130,-1.23,179417218060,
623,014790,HL D&I,2515,1,10,0.4,95214381515,
624,014910,성문전자,2110,1,10,0.48,46118812270,
625,014990,인디에프,4250,1,75,1.8,63846045750,
626,015020,이스타코,928,0,0,0.0,19883142400,
627,015230,대창단조,6670,2,-20,-0.3,181047945400,
628,015260,에이엔피,291,2,-12,-3.96,13711016154,
629,015590,DKME,1880,1,30,1.62,100385059040,
630,015890,태경산업,4830,3,0,0.0,141174862500,
631,016090,대현,1420,3,0,0.0,62880880200,
632,016450,한세예스24홀딩스,4435,1,25,0.57,177400000000,
633,016580,환인제약,10270,2,-60,-0.58,191022718900,
634,016710,대성홀딩스,7100,1,60,0.85,114235158900,
635,016740,두올,4020,1,5,0.12,115269576480,
636,016880,웅진,1886,1,20,1.07,150742472880,
637,004890,동일산업,35650,2,-600,-1.66,86458914750,
638,004910,조광페인트,3555,1,15,0.42,45504000000,
639,004920,씨아이테크,907,0,0,0.0,47327143904,
640,004960,한신공영,12090,2,-10,-0.08,139889787180,
641,004970,신라교역,9270,2,-10,-0.11,148320000000,
642,004980,성신양회,8320,1,50,0.6,203973727360,
643,005010,휴스틸,4000,2,-85,-2.08,224752300000,
644,005030,부산주공,486,0,0,0.0,45092532168,
645,005110,한창,1254,0,0,0.0,26467434378,
